TÊN TRUYỆN: Triệu Hoán Đại Ma Đầu
TÁC GIẢ: 沙蝎
------------------------------

=== Đường Hoàng Tuyền Mới Giác Tỉnh (#1) ===

Người đăng: buikhiemhtc@

Thứ 001 chương trên đường hoàng tuyền mới Giác Tỉnh 



	( tác giả lời mở đầu: nhìn kỹ mấy vạn chữ, ta bảo đảm ngươi không uổng chuyến này 



     Hắn tỉnh lại, cả người hỗn loạn 



   Tất cả ký ức đều trở nên vụn vặt, như là vô số tờ quấy rầy  hợp lại đồ.



	Nỗ lực mở to hai mắt, lại phát hiện chính mình cái gì cũng không nhìn thấy, giống như là hãm thân trong sương mù như vậy.



	Một nguồn sức mạnh ràng buộc , mang theo hắn thân bất do kỷ địa đi phía trước phiêu di, ngay cả ngón tay đều không thể nhúc nhích một hồi.



	"Ta là ai. . . . . . Ta ở đâu. . . . . . Đây là địa phương nào?"



	Oanh --



	Theo hắn nỗ lực hồi ức, vô số thông tin, thông điệp muốn nổ tung lên, ký ức chớp mắt trở về.



	Hắn rốt cục nhớ lại mình là ai.



	Hắn gọi Dịch Tiểu Thất, năm nay 25 tuổi, sanh ra ở Nam Phương thành thị, là một gã nghề nghiệp quân nhân, bạn gái dung mạo rất phổ thông, lại sâu yêu hắn. Một lần hắn xin nghỉ vấn an bạn gái, lại phát hiện bạn gái bị : được địa phương ác bá vây chặt muốn được thi mạnh, phản kháng trong quá trình bị : được đối phương giết chết. Dịch Tiểu Thất máu nóng, dưới cơn nóng giận nắm thương giết chết ác bá một phương hơn mười người, hắn tự biết quân pháp vô tình, cũng sẽ không bởi vì hắn giết là mấy cái vô liêm sỉ ác bá sẽ đối với hắn mở ra một con đường, liền hắn sau đó nuốt thương tự sát.



	Ký ức  trở về trái lại để hắn càng thêm mê man lên.



	Mình không phải là chết rồi sao? Tại sao còn có thể hồi tưởng những này? Nếu như mình không chết, như vậy bây giờ là tình trạng gì?



	Theo ký ức không ngừng khôi phục, tựa hồ đối với thân thể cũng có chút cảm giác, giống như là gây mê đi qua tình cảnh. Điều này làm cho hắn hoài nghi mình có phải là sau khi trọng thương bị cướp đã cứu đến rồi.



	Ý thức càng ngày càng tỉnh táo, che lấp bốn phía  sương mù tựa hồ từ từ nhạt đi.



	Trong lòng hắn đột nhiên bốc lên một ý nghĩ cổ quái. Có thể cũng không phải sương mù che ở ánh mắt, mà là con mắt của hắn bắt đầu ‘ hồi phục thị lực ’ rồi.



	Rất nhanh hắn liền nhìn thấy trong sương mù xuất hiện bóng người, lờ mờ.



	Một, hai cái, ba cái. . . . . .



	Theo sương mù càng ngày càng nhạt, coi như không thể quay đầu bộ, vẻn vẹn nhìn thấy trước mắt, liền để hắn ngạc nhiên không tên.



	Khi hắn phía trước cùng với quanh thân tất cả đều là người, phần lớn là tóc trắng xoá  lão nhân, người trung niên cũng chiếm cứ một ít, người trẻ tuổi liền phi thường ít ỏi.



